folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,aparce,nocos,vendio,uso_hog,uso_prod,deu_hog,deu_neg,pag_trab,uso_reg,uso_int,cicloagr,cantidad,cant_venta,vtapie,valor,preciokg,val_venta
0160004012,1,01,2,5,03,279,0,2, ,2,1,2,2,2,2,2,2, ,38, , ,3600,95, 
0160004012,1,01,2,5,04,260,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,250,250, 
0160007701,1,01,1,4,01,140,2,1,1, , , , , , , , , , , , , , , 
0160007701,1,01,1,4,02,194,2,1,1, , , , , , , , , , , , , , , 
0160007701,1,01,1,5,01,240,0,2, ,1,2,2,2,2,2,2,2, ,10,3, ,300000,30000,90000
0160029024,1,01,1,4,01,141,1,2, ,2,2,1,2,2,2,2,2,2,25000, , ,150000,6, 
0160029024,1,01,1,5,01,240,0,2, ,1,2,2,2,2,2,2,2, ,15,4, ,225000,12500,40000
0160029024,1,01,1,5,02,267,0,2, ,1,2,2,2,2,2,2,2, ,3,2, ,50000,20000,82500
0160029024,1,01,1,5,03,268,0,2, ,2,2,2,2,2,2,2,2, ,15, , ,225000,15000, 
0160029611,1,01,1,4,01,140,2,2,1, , , , , , , , , , , , , , , 
0160029611,1,01,1,4,02,002,2,2,1, , , , , , , , , , , , , , , 
0160037508,1,01,1,4,01,140,1,2, ,2,1,1,2,2,2,1,2,2,2000, , ,13000,6, 
0160037508,1,01,1,4,02,088,1,2, ,2,1,2,2,2,2,1,2,2,750, , ,5000,4, 
0160037508,1,01,1,4,03,194,1,2, ,2,2,1,2,2,2,2,2,2,2500, , ,7500,3, 
0160037508,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,4,2, ,100000,25000,50000
0160037508,1,01,1,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,24000,12000, 
0160037509,1,01,1,4,01,112,1,2, ,1,1,2,2,2,2,1,2,1,2220,2000, ,11100,5,10000
0160037509,1,01,1,4,02,140,1,2, ,2,1,2,2,2,2,2,2,3,210, , ,2100,10, 
0160037509,1,01,1,4,03,194,1,2, ,1,2,2,2,2,2,2,2,1,6000,6000, ,18000,3,7000
0160037717,1,03,2,4,01,112,1,2, ,1,1,2,2,2,2,1,2,1,6000,5890, ,54000,9,53010
0160037717,1,03,2,5,01,243,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,12000,12000, 
0160037717,1,03,2,5,02,271,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,9000,9000, 
0160037717,1,03,2,5,03,265,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,7000,7000, 
0160037718,1,01,1,4,01,140,2,2,2, , , , , , , , , , , , , , , 
0160037718,1,01,1,4,02,098,2,2,2, , , , , , , , , , , , , , , 
0160037924,1,01,2,5,01,251,0,1, ,2,2,1,2,2,2,1,2, ,110, , ,330000,3000, 
0160037924,1,01,2,5,02,250,0,1, ,2,2,2,2,2,2,1,2, ,80, , ,80000,1000, 
0160037924,1,01,2,5,03,263,0,2, ,2,2,2,2,2,2,1,2, ,40, , ,20000,500, 
0160037924,1,01,2,5,04,279,0,2, ,2,1,2,2,2,2,1,2, ,300, , ,9000,30, 
0160045819,1,02,1,4,01,071,1,2, ,2,1,2,2,2,2,1,2,3,10, , ,400,40, 
0160045819,1,02,1,4,02,003,1,2, ,1,1,2,2,2,2,1,2,3,180,60, ,3150,17.5,1050
0160045819,1,02,1,4,03,104,1,2, ,2,1,2,2,2,2,1,2,3,20, , ,350,17.5, 
0160045819,1,02,1,4,04,085,1,2, ,2,1,2,2,2,2,1,2,3,40, , ,700,17.5, 
0160045819,1,07,1,4,01,112,1,2, ,1,1,2,2,2,2,1,2,2,2200,1940, ,6500,500,6100
0160045819,1,07,1,4,02,140,2,2,2, , , , , , , , , , , , , , , 
0160047004,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,25,8, ,500000,20000,160000
0160047004,1,01,1,5,02,266,0,2, ,1,2,2,2,2,2,2,2, ,15,5, ,225000,15000,75000
0160047004,1,01,1,5,03,240,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,30000,6000, 
0160047308,1,01,1,4,01,140,1,2, ,1,1,1,2,2,2,1,2,3,2000,1500, ,10000,5,7500
0160047308,1,01,1,4,02,088,1,2, ,2,1,2,2,2,2,1,2,3,150, , ,600,4, 
0160047308,1,01,1,4,03,194,1,2, ,1,2,2,2,2,2,2,2,3,1500,1500, ,2250,1.5,2250
0160047308,1,01,1,4,04,161,1,2, ,2,1,2,2,2,2,1,2,3,360, , ,360,1, 
0160047720,1,01,1,4,01,141,1,2, ,2,2,1,2,2,2,2,2,1,10000, , ,70000,7, 
0160047720,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,1,5000, , ,12000,2.5, 
0160047720,1,01,1,4,03,026,2,2,2, , , , , , , , , , , , , , , 
0160047720,1,01,1,4,04,200,2,2,2, , , , , , , , , , , , , , , 
0160047720,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,26,6, ,338000,13000,78000
0160047720,1,01,1,5,02,267,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,18000,18000, 
0160047722,1,01,2,5,01,241,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,10000,2000, 
0160056207,1,01,2,5,01,246,0,2, ,2,1,2,2,2,2,2,2, ,2, , ,15000,7500, 
0160056207,1,01,2,5,02,279,0,2, ,2,1,2,2,2,2,1,2, ,86, , ,215,2.5, 
0160056905,1,02,1,5,01,246,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,7000,3500, 
0160056905,1,02,1,5,02,250,0,2, ,2,2,2,2,2,2,2,2, ,20, , ,3000,150, 
0160056905,1,02,1,5,03,279,0,2, ,2,1,2,2,2,2,1,2, ,120, , ,3300,30, 
0160056905,1,02,1,5,04,254,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,2400,1200, 
0160056905,1,02,1,5,05,251,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,1200,200, 
0160056905,1,02,1,5,06,262,0,2, ,2,2,2,2,2,2,2,2, ,11, , ,220,20, 
0160064422,1,01,2,4,01,010,1,2, ,1,2,2,2,2,2,2,2,3,24000,24000, ,64000,2.66,64000
0160064422,1,01,2,4,02,140,1,2, ,2,2,1,2,2,2,2,2,1,2000, , ,8000,4, 
0160064422,1,01,2,4,03,194,1,2, ,1,2,2,2,2,2,2,2,1,6000,4000, ,24000,4,16000
0160064422,1,01,2,5,01,240,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,24000,8000, 
0160086301,1,01,1,4,01,140,1,2, ,2,1,1,2,2,2,2,2,1,10000, , ,70000,7, 
0160086301,1,01,1,4,02,010,1,2, ,2,2,1,2,2,2,2,2,3,36000, , ,216000,6, 
0160086301,1,01,1,4,03,194,1,2, ,2,2,1,2,2,2,2,2,1,80000, , ,120000,3.5, 
0160086301,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,55,9, ,935000,17000,15000
0160086301,1,01,1,5,02,284,0,2, ,1,1,2,2,2,2,2,2, ,67760,66665, ,609840,9,599985
0160086301,1,01,1,5,03,240,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,4500,1500, 
0160086714,1,01,2,5,01,251,0,2, ,2,2,2,2,2,2,1,2, ,10, , ,5000,500, 
0160086714,1,01,2,5,02,250,0,2, ,2,2,2,2,2,2,2,2, ,4, , ,1200,300, 
0160086714,1,01,2,5,03,262,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,150,50, 
0160086714,1,01,2,5,04,279,0,2, ,2,1,2,2,2,2,2,2, ,13, , ,650,4, 
0160091201,1,01,1,5,01,241,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,15000,3000, 
0160098005,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,11,4, ,198000,18000,36000
0160098005,1,01,1,5,02,284,0,2, ,1,1,2,2,2,2,2,2, ,10950,10220, ,65700,6,61320
0160098005,1,01,1,5,03,240,0,2, ,2,2,2,2,2,2,2,2, ,7, , ,35000,5000, 
0160098005,1,01,1,5,04,244,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,8000,4000, 
0160098310,1,01,1,4,01,161,2,2,1, , , , , , , , , , , , , , , 
0160098310,1,01,1,4,02,173,1,2, ,2,2,1,2,2,2,2,2,1,60000, , ,90000,1.5, 
0160098310,1,01,1,4,03,141,1,2, ,2,2,1,2,2,2,2,2,1,7000, , ,31500,4.5, 
0160098310,1,01,1,4,04,194,1,2, ,2,2,1,2,2,2,2,2,1,21000, , ,21000,1, 
0160098310,1,01,1,5,01,241,0,2, ,1,1,2,2,2,2,2,2, ,7,2, ,10500,1500,3000
0160098310,1,01,1,5,02,268,0,2, ,1,2,2,2,2,2,2,2, ,50,10, ,1200000,24000,240000
0160098310,1,01,1,5,03,240,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,12000,12000, 
0160098310,1,01,1,5,04,250,0,2, ,2,1,2,2,2,2,2,2, ,8, , ,1600,200, 
0160098515,1,01,1,4,01,141,1,2, ,2,2,1,2,2,2,2,2,2,2000, , ,20000,10, 
0160098515,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,2,15000, , ,75000,6, 
0160098515,1,01,1,4,03,026,2,2,2, , , , , , , , , , , , , , , 
0160098515,1,01,1,5,01,241,0,2, ,1,1,2,2,1,2,2,2, ,100,50, ,230000,2300,115000
0160098515,1,01,1,5,02,294,0,2, ,2,1,2,2,2,2,2,2, ,20000, , ,80000,4000, 
0160098716,1,01,1,4,01,140,2,2,6, , , , , , , , , , , , , , , 
0160098716,1,01,1,4,02,010,1,2, ,2,2,1,2,2,2,2,2,3,48000, , ,120000,100, 
0160098716,1,01,1,4,03,098,1,2, ,2,1,2,2,2,2,1,2,3,500, , ,17500,35, 
0160098716,1,01,1,4,04,194,1,2, ,2,2,1,2,2,2,2,2,3,150000, , ,750000,5, 
0160098716,1,01,1,4,05,173,2,2,6, , , , , , , , , , , , , , , 
0160098716,1,01,1,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,20, , ,400000,20000, 
0160098716,1,01,1,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,50000,5000, 
0160098716,1,01,1,5,03,266,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,100000,10000, 
0160098716,1,01,1,5,04,241,0,2, ,2,2,2,2,2,2,2,2, ,40, , ,80000,2000, 
0160098716,1,01,1,5,05,250,0,2, ,2,2,2,2,2,2,2,2, ,25, , ,2500,100, 
0160098716,1,01,1,5,06,279,0,2, ,2,1,2,2,2,2,1,2, ,5200, , ,20800,4, 
0160098716,1,01,1,5,07,284,0,2, ,1,2,2,2,2,2,2,2, ,73000,73000, ,584000,8,584000
0160098719,1,01,2,5,01,250,0,2, ,1,2,2,2,2,2,2,2, ,80,10, ,9600,120,1200
0160098719,1,01,2,5,02,279,0,2, ,1,1,2,2,2,2,1,2, ,15792,15008, ,63168,4,60032
0160098719,1,01,2,5,03,262,0,2, ,1,1,2,2,2,2,2,2, ,12,6, ,800,50,300
0160098719,1,01,2,5,04,251,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,60,120, 
0160098720,1,01,2,4,01,140,2,2,6, , , , , , , , , , , , , , , 
0160098720,1,01,2,4,02,010,1,2, ,1,2,1,2,2,2,2,2,3,18000,9000, ,5000,3.33,30000
0160098720,1,01,2,4,03,026,2,2,1, , , , , , , , , , , , , , , 
0160098720,1,01,2,4,04,173,2,2,1, , , , , , , , , , , , , , , 
0160098720,1,01,2,4,05,194,1,2, ,2,2,1,2,2,2,2,2,3,10000, , ,10000,5, 
0160098720,1,01,2,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,120000,20000, 
0160098720,1,01,2,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,24000,4000, 
0160098720,1,01,2,5,03,241,0,2, ,2,2,2,2,2,2,2,2, ,7, , ,10500,1500, 
0160098720,1,01,2,5,04,284,0,2, ,1,1,2,2,2,2,1,2, ,29200,28816, ,233600,8,230528
0160100411,1,01,1,4,01,140,1,2, ,2,2,1,2,2,2,2,2,2,327000, , ,1144500,3.5, 
0160100411,1,01,1,4,02,088,1,2, ,2,1,2,2,2,2,2,2,2,32, , ,400,12, 
0160100411,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,32,7, ,704000,22000,154000
0160100411,1,01,1,5,02,240,0,2, ,1,2,2,2,1,2,1,2, ,22,12, ,88000,4000,48000
0160100411,1,01,1,5,03,284,0,2, ,1,1,2,2,2,2,2,2, ,182500,182500, ,1460000,8,1460000
0160100413,1,01,2,5,01,241,0,2, ,2,2,2,2,2,2,2,2, ,4, , ,8000,2000, 
0160100413,1,01,2,5,02,246,0,2, ,1,1,2,2,2,2,2,2, ,3,1, ,7500,2500,2500
0160100619,1,01,1,4,01,194,1,2, ,2,2,1,2,2,2,2,2,1,45000, , ,45000,1, 
0160100619,1,01,1,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,250000,25000, 
0160100619,1,01,1,5,02,284,0,2, ,1,2,2,2,2,2,2,2, ,54000,54000, ,442800,8.2,442800
0160100905,1,03,1,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,20, , ,420000,21000, 
0160100905,1,03,1,5,02,284,0,2, ,1,2,2,2,2,2,1,2, ,171000,169880, ,1368000,8,1359040
0160100905,1,03,1,5,03,240,0,2, ,2,2,2,2,2,2,2,2, ,8, , ,16000,2000, 
0160103314,1,01,1,4,01,140,1,2, ,2,1,1,2,2,2,2,2,1,200, , ,4000,20, 
0160103314,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,1,8000, , ,40000,5, 
0160103314,1,01,1,5,01,240,0,2, ,1,2,2,2,2,2,2,2, ,2,2, ,14000,7000,14000
0160103314,1,01,1,5,02,284,0,2, ,1,1,2,2,2,2,2,2, ,51100,50370, ,408800,8,402960
0160103314,1,01,1,5,03,266,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,75000,1500, 
0160103314,1,01,1,5,04,268,0,2, ,2,2,2,2,2,2,2,2, ,8, , ,256000,32000, 
0160103517,1,02,2,4,01,140,1,2, ,2,1,2,2,2,2,2,2,1,50, , ,400,8, 
0160103517,1,02,2,4,02,088,1,2, ,2,1,2,2,2,2,1,2,1,192, , ,768,4, 
0160103517,1,02,2,4,03,194,1,2, ,2,2,1,2,2,2,2,2,1,3000, , ,9000,3, 
0160103517,1,02,2,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,10,2, ,70000,14000,14000
0160103517,1,02,2,5,02,284,0,2, ,1,1,2,2,2,2,2,2, ,8160,8040, ,57120,7,56280
0160103517,1,02,2,5,03,240,0,2, ,2,1,2,2,2,2,2,2, ,3, , ,27000,9000, 
0160103517,1,02,2,5,04,241,0,2, ,2,1,2,2,2,2,2,2, ,4, , ,10000,3000, 
0160103517,1,02,2,5,05,246,0,2, ,1,2,2,2,2,2,2,2, ,14,6, ,27000,1100,18000
0160103517,1,02,2,5,06,250,0,2, ,2,1,2,2,2,2,2,2, ,40, , ,3200,80, 
0160103517,1,02,2,5,07,279,0,2, ,2,1,1,2,2,2,2,2, ,50, , ,150,3, 
0160103518,1,01,1,5,01,268,0,2, ,1,1,2,1,2,2,2,2, ,36,10, ,270000,20000,70000
0160103518,1,01,1,5,02,284,0,2, ,1,1,2,2,2,2,1,2, ,43680,41995, ,305760,7,293965
0160103518,1,01,1,5,03,266,0,2, ,2,2,2,1,2,2,2,1, ,8, , ,30000,6000, 
0160103518,1,01,1,5,04,250,0,2, ,1,1,2,2,2,2,1,2, ,40,10, ,4000,100,1000
0160103518,1,01,1,5,05,279,0,2, ,1,1,1,2,2,2,1,2, ,2400,800, ,12000,3,2400
0160103518,1,01,1,5,06,254,0,2, ,1,1,2,2,2,2,1,2, ,15,5, ,9000,600,3000
0160103518,1,01,1,5,07,280,0,2, ,1,1,1,2,2,2,1,2, ,150,100, ,750,5,500
0160105214,1,02,1,5,01,250,0,2, ,2,2,1,2,2,2,2,2, ,3, , ,300,100, 
0160105214,1,02,1,5,02,263,0,2, ,1,2,2,2,2,2,2,2, ,18,12, ,900,50,600
0160105214,1,02,1,5,03,279,0,2, ,2,1,1,2,2,2,2,2, ,600, , ,1800,3, 
0160105416,1,01,2,5,01,246,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,6000,2000, 
0160105416,1,01,2,5,02,250,0,2, ,2,2,2,2,2,2,2,2, ,15, , ,1000,66.66, 
0160105416,1,01,2,5,03,251,0,2, ,2,2,2,2,2,2,2,2, ,4, , ,500,125, 
0160105416,1,01,2,5,04,240,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,2000,2000, 
0160105416,1,01,2,5,05,268,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,15000,7500, 
0160105416,1,01,2,5,06,279,0,2, ,2,1,2,2,2,2,2,2, ,2700, , ,8100,3, 
0160105419,1,01,2,5,01,246,0,2, ,1,2,2,2,2,2,1,2, ,24,12, ,72000,3000,36000
0160105419,1,01,2,5,02,268,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,20000,20000, 
0160105419,1,01,2,5,03,284,0,2, ,2,1,2,2,2,2,1,2, ,2544, , ,17808,7, 
0160108317,1,01,1,4,01,140,2,2,2, , , , , , , , , , , , , , , 
0160108317,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,1,500, , ,1000,2, 
0160108317,1,01,1,4,03,098,1,2, ,2,1,2,2,2,2,2,2,1,50, , ,900,18, 
0160108317,1,01,1,4,04,206,1,2, ,2,2,1,2,2,2,2,2,1,150, , ,300,2, 
0160108317,1,01,1,5,01,240,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,30000,10000, 
0160108317,1,01,1,5,02,250,0,2, ,2,1,2,2,2,2,2,2, ,14, , ,1400,100, 
0160108317,1,01,1,5,03,279,0,2, ,2,1,2,2,2,2,1,2, ,176, , ,7744,44, 
0160108317,1,01,1,5,04,257,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,160,80, 
0160108318,1,01,2,4,01,140,2,2,6, , , , , , , , , , , , , , , 
0160108318,1,01,2,4,02,088,1,2, ,2,1,2,2,2,2,1,2,1,250, , ,1250,5, 
0160108318,1,01,2,4,03,194,1,2, ,2,2,1,2,2,2,2,2,1,12000, , ,42000,3.5, 
0160108318,1,01,2,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,2,1, ,66000,33000,33000
0160108318,1,01,2,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,8000,8000, 
0160108318,1,01,2,5,03,284,0,2, ,1,1,2,2,2,2,1,2, ,7720,7560, ,63304,8.2,61992
0160108318,1,01,2,5,04,250,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,500,100, 
0160108318,1,01,2,5,05,279,0,2, ,1,1,2,2,2,2,2,2, ,65,20, ,2860,44,880
0160108318,1,01,2,5,06,262,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,100,50, 
0160108318,1,01,2,5,07,251,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,200,200, 
0160108601,1,01,1,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,120000,20000, 
0160108601,1,01,1,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,15000,2500, 
